Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,20,0.0,0.2,0.75,0.0,1.0,-0.7557191312803366,0.5870071694584685
S2,1,20,0.0,0.3,0.75,0.0,1.0,-0.7557191312803366,0.5501451203639879
S2,1,20,0.0,0.4,0.75,0.0,1.0,-0.7557191312803366,0.500995721571347
S2,1,20,0.0,0.5,0.75,0.0,1.0,-0.7557191312803366,0.4321865632616498
S2,1,20,0.0,0.6,0.75,0.0,1.0,-0.7557191312803366,0.32897282579710396
S2,1,20,0.0,0.65,0.75,0.0,1.0,-0.7557191312803366,0.2552487276081426
S2,1,20,0.0,0.7,0.9,0.5,1.0,0.680326191283424,0.024966365223075368
S2,1,20,0.0,0.75,0.9,0.5,1.0,0.680326191283424,0.08252265713414131
S2,1,20,0.0,0.8,0.9,0.5,1.0,0.680326191283424,0.132884412556324
S2,1,20,0.0,0.9,0.9,0.5,1.0,0.680326191283424,0.21682067159329504
S2,1,20,0.0,1.0,0.9,0.5,1.0,0.680326191283424,0.28396967882287194
S2,1,20,0.2,0.2,1.0,0.0,1.0,-0.7840696806049953,0.5923528498114768
S2,1,20,0.2,0.3,1.0,0.0,1.0,-0.7840696806049953,0.5610681921507081
S2,1,20,0.2,0.4,1.0,0.0,1.0,-0.7840696806049953,0.5193553152696828
S2,1,20,0.2,0.5,1.0,0.0,1.0,-0.7840696806049953,0.4609572876362475
S2,1,20,0.2,0.6,1.0,0.0,1.0,-0.7840696806049953,0.3733602461860945
S2,1,20,0.2,0.65,1.0,0.0,1.0,-0.7840696806049953,0.31079093086455656
S2,1,20,0.2,0.7,1.0,0.0,1.0,-0.7840696806049953,0.2273651771025062
S2,1,20,0.2,0.75,0.8,0.6744959662786709,0.976512101163987,0.6946092305954321,0.026154163989736107
S2,1,20,0.2,0.8,0.8,0.6744959662786709,0.976512101163987,0.6946092305954321,0.046652755091946906
S2,1,20,0.2,0.9,0.8,0.6744959662786709,0.976512101163987,0.6946092305954321,0.08081707359563153
S2,1,20,0.2,1.0,0.8,0.6744959662786709,0.976512101163987,0.6946092305954321,0.10814852839857925
S2,1,20,0.4,0.2,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.24385815878321102
S2,1,20,0.4,0.3,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.2308720813922063
S2,1,20,0.4,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.2135573115375333
S2,1,20,0.4,0.5,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.18931663374099109
S2,1,20,0.4,0.6,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.15295561704617783
S2,1,20,0.4,0.65,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.12698346226416832
S2,1,20,0.4,0.7,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.09235392255482239
S2,1,20,0.4,0.75,0.75,0.5012487030999995,0.997502593800001,0.6353138272121854,0.059922660130019706
S2,1,20,0.4,0.8,0.75,0.5012487030999995,0.997502593800001,0.6353138272121854,0.08066932776359972
S2,1,20,0.4,0.9,0.75,0.5012487030999995,0.997502593800001,0.6353138272121854,0.11524710715289972
S2,1,20,0.4,1.0,0.75,0.5012487030999995,0.997502593800001,0.6353138272121854,0.1429093306643397
S2,1,20,0.6,0.2,0.4,0.16008241936129153,0.8399175806387085,-0.5504956564694042,0.0
S2,1,20,0.6,0.3,0.4,0.16008241936129153,0.8399175806387085,-0.5504956564694042,0.0
S2,1,20,0.6,0.4,0.4,0.16008241936129153,0.8399175806387085,-0.5504956564694042,0.0
S2,1,20,0.6,0.5,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.017147359905249862
S2,1,20,0.6,0.6,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.08714549510350418
S2,1,20,0.6,0.65,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.11406785479514049
S2,1,20,0.6,0.7,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.13714416310225727
S2,1,20,0.6,0.75,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.15714363030175854
S2,1,20,0.6,0.8,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.17464316410132216
S2,1,20,0.6,0.9,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.20380905376726144
S2,1,20,0.6,1.0,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.2271417655000129
S2,1,20,0.8,0.2,0.2,0.023487898836012988,0.976512101163987,-0.6512203021711578,0.21314893992680511
S2,1,20,0.8,0.3,0.2,0.023487898836012988,0.976512101163987,-0.6512203021711578,0.18961212447562145
S2,1,20,0.8,0.4,0.2,0.023487898836012988,0.976512101163987,-0.6512203021711578,0.1582297038740432
S2,1,20,0.8,0.5,0.2,0.023487898836012988,0.976512101163987,-0.6512203021711578,0.11429431503183365
S2,1,20,0.8,0.6,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.08554484607573873
S2,1,20,0.8,0.65,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.11742601176222038
S2,1,20,0.8,0.7,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.14475272520777605
S2,1,20,0.8,0.75,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.168435876860591
S2,1,20,0.8,0.8,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.18915863455680407
S2,1,20,0.8,0.9,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.22369656405049249
S2,1,20,0.8,1.0,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.25132690764544324
S2,2,20,0.0,0.2,0.75,0.0,1.0,-0.8025484709066025,0.27551289202564117
S2,2,20,0.0,0.3,0.75,0.0,1.0,-0.8025484709066025,0.262615188250504
S2,2,20,0.0,0.4,0.75,0.0,1.0,-0.8025484709066025,0.2454182498836542
S2,2,20,0.0,0.5,0.75,0.0,1.0,-0.8025484709066025,0.22134253617006466
S2,2,20,0.0,0.6,0.75,0.0,1.0,-0.8025484709066025,0.1852289655996803
S2,2,20,0.0,0.65,0.75,0.0,1.0,-0.8025484709066025,0.1594335580494057
S2,2,20,0.0,0.7,0.75,0.0,1.0,-0.8025484709066025,0.12503968131570634
S2,2,20,0.0,0.75,0.75,0.0,1.0,-0.8025484709066025,0.07688825388852713
S2,2,20,0.0,0.8,1.0,0.5,1.0,0.7579034025426625,0.035252735327797845
S2,2,20,0.0,0.9,1.0,0.5,1.0,0.7579034025426625,0.10577352604794843
S2,2,20,0.0,1.0,1.0,0.5,1.0,0.7579034025426625,0.1621901586240689
S2,2,20,0.2,0.2,1.0,0.0,1.0,-0.7122756523248511,0.6083273371357606
S2,2,20,0.2,0.3,1.0,0.0,1.0,-0.7122756523248511,0.5595169567265836
S2,2,20,0.2,0.4,1.0,0.0,1.0,-0.7122756523248511,0.49443644951434756
S2,2,20,0.2,0.5,1.0,0.0,1.0,-0.7122756523248511,0.4033237394172171
S2,2,20,0.2,0.6,1.0,0.0,1.0,-0.7122756523248511,0.26665467427152145
S2,2,20,0.2,0.65,1.0,0.0,1.0,-0.7122756523248511,0.1690339134531673
S2,2,20,0.2,0.7,0.8421052631578947,0.5,1.0,0.644156066523746,0.058380010230506735
