Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,,,
S4,4_5,20,0.4,0.705882353,0.186408737,0.813591263,,,
S4,4_5,20,0.6,0.444444444,0.137111335,0.862888665,,,
S4,4_5,20,0.8,0.222222222,0.137111335,0.862888665,0.543266512,0.237207188,0.704244575
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,0.610748788,0.241814838,0.814336663
S5,1_2,20,0,1,0.384335212,0.307832394,,,
S5,1_2,20,0.2,0.8,0.670199745,0.329800255,,,
S5,1_2,20,0.4,0.6875,0.618326734,0.190836633,,,
S5,1_2,20,0.6,0.470588235,0.772218044,0.227781956,,,
S5,1_2,20,0.8,0.210526316,0.740143743,0.389784386,,,
S5,1_3,20,0,1,0.230470629,0.769529371,,,
S5,1_3,20,0.2,0.8,0.277449159,0.722550841,,,
S5,1_3,20,0.4,0.578947368,0.309163367,0.690836633,,,
S5,1_3,20,0.6,0.5,0.265087565,0.734912435,,,
S5,1_3,20,0.8,0.2,0.563547731,0.654678404,,,
S5,1_4,20,0,1,0.384335212,0.307832394,,,
S5,1_4,20,0.2,0.8,0.661784745,0.338215255,,,
S5,1_4,20,0.4,0.631578947,0.620578861,0.379421139,,,
S5,1_4,20,0.6,0.421052632,0.712235636,0.287764364,,,
S5,1_4,20,0.8,0.210526316,0.764434992,0.353347512,,,
S5,1_5,20,0,1,0.247348537,0.376325732,,,
S5,1_5,20,0.2,0.941176471,0.247348537,0.376325732,,,
S5,1_5,20,0.4,0.666666667,0.395557601,0.604442399,,,
S5,1_5,20,0.6,0.571428571,0.247348537,0.376325732,,,
S5,1_5,20,0.8,0.222222222,0.354144897,0.645855103,,,
S5,2_3,20,0,1,0.097957446,0.451021277,,,
S5,2_3,20,0.2,0.8,0.489208502,0.510791498,,,
S5,2_3,20,0.4,0.6,0.527010862,0.472989138,,,
S5,2_3,20,0.6,0.444444444,0.53079285,0.46920715,,,
S5,2_3,20,0.8,0.266666667,0.568254234,0.431745766,,,
S5,2_4,20,0,1,0.726954091,0.136522954,,,
S5,2_4,20,0.2,0.941176471,0.887551579,0.056224211,,,
S5,2_4,20,0.4,0.631578947,0.830261854,0.169738146,,,
S5,2_4,20,0.6,0.4,0.914625961,0.128061058,,,
S5,2_4,20,0.8,0.210526316,0.910560598,0.089439402,,,
S5,2_5,20,0,1,0.164112833,0.417943583,,,
S5,2_5,20,0.2,0.888888889,0.164112833,0.417943583,,,
S5,2_5,20,0.4,0.666666667,0.563952578,0.436047422,,,
S5,2_5,20,0.6,0.727272727,0.164112833,0.417943583,,,
S5,2_5,20,0.8,0.235294118,0.563870544,0.436129456,,,
S5,3_4,20,0,1,0.09395706,0.45302147,,,
S5,3_4,20,0.2,0.842105263,0.09395706,0.45302147,,,
S5,3_4,20,0.4,0.631578947,0.502393035,0.497606965,,,
S5,3_4,20,0.6,0.421052632,0.502393035,0.497606965,,,
S5,3_4,20,0.8,0.2,0.502393035,0.497606965,,,
S5,3_5,20,0,1,0.082056417,0.917943583,,,
S5,3_5,20,0.2,0.8,0.129034947,0.870965053,,,
S5,3_5,20,0.4,0.473684211,0.28640097,0.71359903,,,
S5,3_5,20,0.6,0.235294118,0.09395706,0.45302147,,,
S5,3_5,20,0.8,0.25,0.321303514,0.678696486,,,
S5,4_5,20,0,1,0.445777509,0.554222491,,,
S5,4_5,20,0.2,0.842105263,0.445777509,0.554222491,,,
S5,4_5,20,0.4,0.55,0.567734352,0.432265648,,,
S5,4_5,20,0.6,0.444444444,0.701224947,0.448162579,,,
S5,4_5,20,0.8,0.157894737,0.685086931,0.314913069,0.627457772,0.460456929,0.448860453
,,,,,,,0.668992424,0.308709954,0.732215841
