10,0.9936858404883735,0.04021185676592057
20,0.9952056659358849,0.0330028777018971
30,0.9955546191139933,0.031591354558292234
40,0.9955216278633627,0.03179373459659574
50,0.995598369620354,0.03144592403566941
60,0.9956245874258768,0.0314939704101032
70,0.995641663476611,0.03143346316353567
80,0.9956994995984811,0.03127949949051659
90,0.9957792899932303,0.03111437710992185
100,0.995777908863906,0.03111897283667292
110,0.9957747220712618,0.031118561971149195
120,0.9958367954379499,0.03095592822646744
130,0.9958265656828797,0.030973565182907763
140,0.9958657451267179,0.030903473395346888
150,0.9958578783024273,0.03094033457027419
