Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,2_3,20,0.8,0.25,0.602887137,0.595669295,0.627506805,0.047908836,,,
S4,2_4,20,0,1,0,1,0.643086288,0.076818343,,,
S4,2_4,20,0.2,0.736842105,0.333333333,1,0.670661759,0.031645783,,,
S4,2_4,20,0.4,0.666666667,0.029343509,0.970656491,0.679577486,0.018051385,,,
S4,2_4,20,0.6,0.571428571,0.029343509,0.970656491,0.671576876,0.032034951,,,
S4,2_4,20,0.8,0.1875,0.352895672,0.970656491,0.622295363,0.105456293,,,
S4,2_5,20,0,0.9,0.412974616,0.880538076,0.523773144,0.187440121,,,
S4,2_5,20,0.2,0.6,0.131156022,0.868843978,0.446984113,0.33563332,,,
S4,2_5,20,0.4,0.666666667,0.131156022,0.868843978,0.663908346,0.024224298,,,
S4,2_5,20,0.6,0.411764706,0.131156022,0.868843978,0.640917254,0.043862848,,,
S4,2_5,20,0.8,0.25,0.131156022,0.868843978,0.507133801,0.13380469,,,
S4,3_4,20,0,1,0,1,0.220720721,0.684684685,,,
S4,3_4,20,0.2,0.9375,0,1,0.244484901,0.619102863,,,
S4,3_4,20,0.4,0.75,0.017649411,0.982350589,0.34029716,0.477156829,,,
S4,3_4,20,0.6,0.421052632,0.474090631,0.525909369,0.623735541,0.013553777,,,
S4,3_4,20,0.8,0.2,0.133893625,0.433053187,-0.712988149,0,,,
S4,3_5,20,0,0.85,0.484666308,0.515333692,0.124449647,0.503515005,,,
S4,3_5,20,0.2,0.833333333,0.412974616,0.880538076,0.478655755,0.132655431,,,
S4,3_5,20,0.4,0.444444444,0.512098532,0.487901468,0.428934328,0.214397358,,,
S4,3_5,20,0.6,0.7,0.238923849,0.380538076,-0.797239374,0.071768611,,,
S4,3_5,20,0.8,0.117647059,0.547625077,0.452374923,0.553385617,0.103272658,,,
S4,4_5,20,0,0.85,0.133893625,0.433053187,-0.725045656,0.061753108,,,
S4,4_5,20,0.2,0.833333333,0.42474089,0.862888665,0.680893176,0.025296553,,,
S4,4_5,20,0.4,0.631578947,0.186408737,0.813591263,0.568629763,0.093835884,,,
S4,4_5,20,0.6,0.4,0.133893625,0.433053187,-0.760472562,0,,,
S4,4_5,20,0.8,0.2,0.186408737,0.813591263,0.49157364,0.065809286,0.60981273,0.22223332,0.810524871
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S5,1_2,20,0,1,0,1,0.342959617,0.481487982,,,
S5,1_2,20,0.2,0.941176471,0.054255751,0.945744249,0.271324377,0.5692736,,,
S5,1_2,20,0.4,0.705882353,0.26174359,0.73825641,0.33025151,0.360636452,,,
