Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,10,0.0,0.9,0.6666666666666667,1.0,0.6952756187791436,0.0061944137695530135
S2,1,10,0.2,0.7777777777777778,0.6666666666666667,1.0,0.6256626851210875,0.09828642316422453
S2,1,10,0.4,0.8333333333333334,0.5800412096806458,0.8399175806387085,0.2530499590854408,0.5866219287003589
S2,1,10,0.6,0.4,0.5800412096806458,0.8399175806387085,0.3748148148148148,0.23227513227513225
S2,1,10,0.8,0.125,0.5818209521810539,0.8363580956378922,0.5649925947755631,0.17840264261800587
S2,1,20,0.0,1.0,0.5,1.0,0.6253653986771927,0.09331915979452254
S2,1,20,0.2,0.7777777777777778,0.5800412096806458,0.8399175806387085,0.3076923076923077,0.5281065088757395
S2,1,20,0.4,0.631578947368421,0.5800412096806458,0.8399175806387085,0.5386074250783384,0.1008703593260385
S2,1,20,0.6,0.0,1.0,0.0,1.1,0.0
S2,1,20,0.8,0.2857142857142857,0.16008241936129153,0.8399175806387085,-0.7529376249343961,0.131181563066504
S2,1,40,0.0,1.0,0.0,1.0,-0.7615318782820188,0.17417675111873365
S2,1,40,0.2,0.875,0.5,1.0,0.6912683063875766,0.010999133917129617
S2,1,40,0.4,0.625,0.5,1.0,0.565389798563631,0.1774505741330909
S2,1,40,0.6,0.48484848484848486,0.7200274731204306,0.8399175806387085,0.6383101851851851,0.08812830687830692
S2,1,40,0.8,0.25,0.5800412096806458,0.8399175806387085,0.6918399948188787,0.010394292314047312
S2,1,60,0.0,1.0,0.0,1.0,-0.7162886329221606,0.04313902337334503
S2,1,60,0.2,1.0,0.0,1.0,-0.7042135821329876,0.010938568441843242
S2,1,60,0.4,0.6923076923076923,0.16008241936129153,0.8399175806387085,-0.7164178173079486,0.0
S2,1,60,0.6,0.3191489361702128,0.16008241936129153,0.8399175806387085,-0.7277295245584534,0.06506402952311341
S2,1,60,0.8,0.2926829268292683,0.7200274731204306,0.8399175806387085,0.6461578209197608,0.07691739868605592
S2,1,80,0.0,1.0,0.5,1.0,0.6607044315307965,0.04900899255555603
S2,1,80,0.2,0.8888888888888888,0.7200274731204306,0.8399175806387085,0.3279260907180818,0.5315341561170259
S2,1,80,0.4,0.631578947368421,0.5800412096806458,0.8399175806387085,0.46069030845835257,0.17093549395831958
S2,1,80,0.6,0.6037735849056604,0.5800412096806458,0.8399175806387085,0.33586337760910817,0.5201951748441311
S2,1,80,0.8,0.16666666666666666,0.5800412096806458,0.8399175806387085,0.40880597253146267,0.36931593047372696
S2,1,100,0.0,1.0,0.5,1.0,0.6908512590377811,0.01141333725517996
S2,1,100,0.2,1.0,0.5,1.0,0.6751221881947888,0.02987375791799488
S2,1,100,0.4,0.6382978723404256,0.5800412096806458,0.8399175806387085,0.43928962421074075,0.18622169699232802
S2,1,100,0.6,0.6666666666666666,0.5800412096806458,0.8399175806387085,0.6317340067340067,0.09752284752284751
S2,1,100,0.8,0.32786885245901637,0.5800412096806458,0.8399175806387085,0.5956873315363882,0.14901809780515965
S2,2,10,0.0,1.0,0.5,1.0,0.6923076923076923,0.010874542124542086
S2,2,10,0.2,0.7777777777777778,0.5,1.0,0.6807255244755245,0.027043269230769166
S2,2,10,0.4,1.0,0.0,1.0,-0.7251984126984127,0.07559523809523815
S2,2,10,0.6,0.5,0.023388194857824396,0.9766118051421756,0.6758680555555555,0.03160135582010582
S2,2,10,0.8,0.25,0.5116940974289121,0.9766118051421756,0.5078125,0.2582110969387755
S2,2,20,0.0,1.0,0.5,1.0,0.5760683760683761,0.17532071103499663
S2,2,20,0.2,0.8,0.5,1.0,0.6620065789473684,0.05427631578947371
S2,2,20,0.4,1.0,0.0,1.0,-0.7428908753584077,0.12867262607522323
S2,2,20,0.6,0.4,0.5116940974289121,0.9766118051421756,0.6269529222464445,0.10435296821936495
S2,2,20,0.8,0.2,0.6744627316192748,0.9766118051421756,0.6763410290542073,0.03304745147983731
S2,2,40,0.0,1.0,0.0,1.0,-0.7103978671041836,0.034659557013945554
S2,2,40,0.2,1.0,0.0,1.0,-0.7964053941582032,0.30528374816764364
S2,2,40,0.4,0.6666666666666666,0.5,1.0,0.6491903804824594,0.07061119775006625
S2,2,40,0.6,0.43243243243243246,0.5116940974289121,0.9766118051421756,0.5935952759482171,0.1464331678617392
S2,2,40,0.8,0.20512820512820512,0.6744627316192748,0.9766118051421756,0.6720880518911828,0.03932040308980193
S2,2,60,0.0,1.0,0.0,1.0,-0.7576846427593759,0.19228214253125298
S2,2,60,0.2,1.0,0.0,1.0,-0.782937138661164,0.26263427242701937
S2,2,60,0.4,0.7058823529411765,0.5,1.0,0.6878203797280529,0.016227590025211774
S2,2,60,0.6,0.48,0.5116940974289121,0.9766118051421756,0.6869781123481781,0.01771359717343418
S2,2,60,0.8,0.2,0.5116940974289121,0.9766118051421756,0.654318967672264,0.0652586176110513
S2,2,80,0.0,1.0,0.0,1.0,-0.7532994923857868,0.1776649746192893
S2,2,80,0.2,1.0,0.0,1.0,-0.7165486664489242,0.052404110421593535
S2,2,80,0.4,1.0,0.0,1.0,-0.7104476937558252,0.03134308126747565
S2,2,80,0.6,0.5161290322580645,0.5,1.0,0.6805184111423349,0.02501253354748534
S2,2,80,0.8,0.2,0.6744627316192748,0.9766118051421756,0.6601363559035518,0.055111028704767036
S2,2,100,0.0,1.0,0.0,1.0,-0.7660079051383399,0.22002635046113325
S2,2,100,0.2,1.0,0.0,1.0,-0.7269442435693085,0.08532343796947715
