Scene,folder,p,q,rep,jac_mean,Precision_mean,Recall_mean,CC_mean,Conf_mean,jac_median,Precision_median,Recall_median,CC_median,Conf_median
S5,6_7,"[0.4, 0.6]","[0, 1]",1,1.0,0.5275598357076072,0.5275598357076072,0.37490416216047173,0.5613001025132728,1.0,0.5275598357076072,0.5275598357076072,0.37490416216047173,0.5613001025132728
S5,6_7,"[0.4, 0.6]","[0, 1]",2,1.0,0.47713843835826497,0.47713843835826497,0.3785202939868058,0.5023753902356066,1.0,0.47713843835826497,0.47713843835826497,0.3785202939868058,0.5023753902356066
S5,6_7,"[0.4, 0.6]","[0, 1]",3,1.0,0.5262311566911073,0.5262311566911073,0.35534327726642156,0.5353731484585189,1.0,0.5275598357076072,0.5275598357076072,0.37490416216047173,0.5613001025132728
S5,6_7,"[0.4, 0.6]","[0, 1]",4,1.0,0.5450331320628689,0.5450331320628689,0.3249989933494546,0.5138009564326699,1.0,0.5644994469428803,0.5644994469428803,0.3419467029930624,0.5051922414341978
S5,6_7,"[0.4, 0.6]","[0, 1]",5,1.0,0.5417582832266694,0.5417582832266694,0.31141319003695284,0.49120168110577483,1.0,0.5286588878818719,0.5286588878818719,0.3089892438256531,0.4490843803551229
S5,6_7,"[0.4, 0.6]","[0, 1]",6,1.0,0.5275942754208628,0.5275942754208628,0.299858146922603,0.5149699816227115,1.0,0.5281093617947396,0.5281093617947396,0.2830296103062994,0.5051922414341978
S5,6_7,"[0.4, 0.6]","[0, 1]",7,1.0,0.5381435301004757,0.5381435301004757,0.29954209370822316,0.5238993287468924,1.0,0.5286588878818719,0.5286588878818719,0.2976457744219442,0.5613001025132728
S5,6_7,"[0.4, 0.6]","[0, 1]",8,1.0,0.5117518514384984,0.5117518514384984,0.29975371088224856,0.5086659496867809,1.0,0.5281093617947396,0.5281093617947396,0.29944040276118533,0.5051922414341978
S5,6_7,"[0.4, 0.6]","[0, 1]",9,1.0,0.5075976212743265,0.5075976212743265,0.3102365544953168,0.4964218750445921,1.0,0.5275598357076072,0.5275598357076072,0.30123503110042643,0.4490843803551229
S5,6_7,"[0.4, 0.6]","[0, 1]",10,1.0,0.5149772611756896,0.5149772611756896,0.3052025391331892,0.4992704344862579,1.0,0.5281093617947396,0.5281093617947396,0.29944040276118533,0.4869959249081866
S5,6_7,"[0.4, 0.6]","[0, 1]",11,1.0,0.5162592431974449,0.5162592431974449,0.3094986149456631,0.48752264442552035,1.0,0.5286588878818719,0.5286588878818719,0.30123503110042643,0.4490843803551229
S5,6_7,"[0.4, 0.6]","[0, 1]",12,1.0,0.5244397564994707,0.5244397564994707,0.3182879795999235,0.49506914159005483,1.0,0.5288689756484345,0.5288689756484345,0.3051121374630398,0.4869959249081866
S5,6_7,"[0.4, 0.6]","[0, 1]",13,1.0,0.5303627797055233,0.5303627797055233,0.30831264730571306,0.49958749672563124,1.0,0.5290790634149971,0.5290790634149971,0.30123503110042643,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",14,1.0,0.5252266241645397,0.5252266241645397,0.3096444290201254,0.5048608530833893,1.0,0.5288689756484345,0.5288689756484345,0.3051121374630398,0.5393576139068991
S5,6_7,"[0.4, 0.6]","[0, 1]",15,1.0,0.5244710851351041,0.5244710851351041,0.310971352076378,0.4936591507616073,1.0,0.5286588878818719,0.5286588878818719,0.3089892438256531,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",16,1.0,0.5277306880168445,0.5277306880168445,0.3106705360449275,0.49547712116380765,1.0,0.5288689756484345,0.5288689756484345,0.30757376969941164,0.5238270733290316
S5,6_7,"[0.4, 0.6]","[0, 1]",17,0.9970588235294118,0.5330114295529296,0.5330114295529296,0.3088833415321298,0.4987208779546055,1.0,0.5290790634149971,0.5290790634149971,0.3061582955731702,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",18,0.9972222222222222,0.538938113307632,0.538938113307632,0.3041134874799987,0.5043990485373925,1.0,0.5528518973289738,0.5528518973289738,0.30369666333679834,0.5377642280343107
S5,6_7,"[0.4, 0.6]","[0, 1]",19,0.9973684210526316,0.5442409356144708,0.5442409356144708,0.30872614676182,0.5056363059036038,1.0,0.5766247312429504,0.5766247312429504,0.3061582955731702,0.527906938495408
S5,6_7,"[0.4, 0.6]","[0, 1]",20,0.9974999999999999,0.5476933556240476,0.5476933556240476,0.31178543753745014,0.5059063951192494,1.0,0.579009375765454,0.579009375765454,0.30757376969941164,0.5264072039783292
S5,6_7,"[0.4, 0.6]","[0, 1]",21,0.9976190476190476,0.5502526747932908,0.5502526747932908,0.3060081181073097,0.508285458480737,1.0,0.5813940202879576,0.5813940202879576,0.3061582955731702,0.527906938495408
S5,6_7,"[0.4, 0.6]","[0, 1]",22,0.9977272727272727,0.5525793285835118,0.5525793285835118,0.30170988749655797,0.5077960504655635,1.0,0.5914165392330556,0.5914165392330556,0.30369666333679834,0.5264072039783292
S5,6_7,"[0.4, 0.6]","[0, 1]",23,0.9978260869565218,0.5552188941149246,0.5552188941149246,0.3014082465426115,0.5057148710150287,1.0,0.6014390581781536,0.6014390581781536,0.30123503110042643,0.5249074694612503
S5,6_7,"[0.4, 0.6]","[0, 1]",24,0.9979166666666667,0.5538845484989157,0.5538845484989157,0.30251953806157966,0.5078165954116327,1.0,0.5914165392330556,0.5914165392330556,0.30369666333679834,0.5264072039783292
S5,6_7,"[0.4, 0.6]","[0, 1]",25,0.998,0.5551498753471411,0.5551498753471411,0.3029951520492555,0.5082987798816697,1.0,0.5855177197045525,0.5855177197045525,0.3061582955731702,0.5249074694612503
