Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,20,0.0,1.0,0.5,1.0,0.6253653986771927,0.09331915979452254
S2,1,20,0.2,0.7777777777777778,0.5800412096806458,0.8399175806387085,0.3076923076923077,0.5281065088757395
S2,1,20,0.4,0.631578947368421,0.5800412096806458,0.8399175806387085,0.5386074250783384,0.1008703593260385
S2,1,20,0.6,0.0,1.0,0.0,1.1,0.0
S2,1,20,0.8,0.2857142857142857,0.16008241936129153,0.8399175806387085,-0.7529376249343961,0.131181563066504
S2,2,20,0.0,1.0,0.5,1.0,0.5760683760683761,0.17532071103499663
S2,2,20,0.2,0.8,0.5,1.0,0.6620065789473684,0.05427631578947371
S2,2,20,0.4,1.0,0.0,1.0,-0.7428908753584077,0.12867262607522323
S2,2,20,0.6,0.4,0.5116940974289121,0.9766118051421756,0.6269529222464445,0.10435296821936495
S2,2,20,0.8,0.2,0.6744627316192748,0.9766118051421756,0.6763410290542073,0.03304745147983731
S2,3,20,0.0,1.0,0.0,1.0,-1.0,1.0
S2,3,20,0.2,1.0,0.0,1.0,-0.9367771187420121,0.7566863616992174
S2,3,20,0.4,1.0,0.8563263051034412,0.14367369489655876,-0.8701330616988185,0.511020555007134
S2,3,20,0.6,0.6666666666666666,0.8563263051034412,0.14367369489655876,-0.8292372217163846,0.3581911456848642
S2,3,20,0.8,0.4,0.9281631525517207,0.14367369489655876,0.5381652661064426,0.21553881969454447
S2,4,20,0.0,1.0,0.5,1.0,0.65616761148904,0.06087831737633325
S2,4,20,0.2,1.0,0.0,1.0,-0.7994608456692812,0.31495934461939057
S2,4,20,0.4,0.6666666666666666,0.5,1.0,0.6898148148148149,0.013620886388743383
S2,4,20,0.6,0.47058823529411764,0.03529882216333535,0.9647011778366646,-0.7629191070367541,0.19400058002999204
S2,4,20,0.8,0.2,0.6784329407211118,0.9647011778366646,0.6879744610394765,0.01700038989954959
S2,5,20,0.0,0.95,0.6720196574455866,0.9839410276632402,0.6901274085408917,0.0129371637837857
S2,5,20,0.2,1.0,0.5,1.0,0.4821301361389241,0.24522642541717427
S2,5,20,0.4,0.8,0.7463079496041936,0.7610761511874194,0.5791005291005291,0.17031473083060378
S2,5,20,0.6,0.7272727272727273,0.6194619244062902,0.7610761511874194,0.6,0.14285714285714282
S2,5,20,0.8,0.21052631578947367,0.7463079496041936,0.7610761511874194,0.6058288851803124,0.1264005162922491
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S3,1,20,0.0,1.0,0.0,1.0,-0.7712603901932924,0.23727343615360497
S3,1,20,0.2,1.0,0.0,1.0,-0.8260749552805389,0.393958598555171
S3,1,20,0.4,1.0,0.25504832084193996,0.74495167915806,-0.7990327425531688,0.2929718633864578
S3,1,20,0.6,0.4444444444444444,0.6666666666666667,1.0,0.682597330944205,0.024203699223415875
S3,1,20,0.8,0.1875,0.6406721188424092,0.7186557623151816,0.6689547596209551,0.034927056958407865
S3,2,20,0.0,1.0,0.10851150267169007,0.8914884973283099,-0.7745171894935381,0.24619839678842492
S3,2,20,0.2,1.0,0.10851150267169007,0.8914884973283099,-0.7862393545969335,0.27813857291974853
S3,2,20,0.4,1.0,0.10851150267169007,0.8914884973283099,-0.9256200266819321,0.6714530660085176
S3,2,20,0.6,0.5,0.70283716755723,0.8914884973283099,0.6144979725812404,0.11589838762627735
S3,2,20,0.8,0.2857142857142857,0.8371911755767223,0.32561764884655553,0.1736111111111111,0.7284846230158729
S3,3,20,0.0,0.85,0.5,1.0,0.6179428791690624,0.11370622898530724
S3,3,20,0.2,1.0,0.0,1.0,-0.7475821966615643,0.14789424545018676
S3,3,20,0.4,0.6875,0.5,1.0,0.6799145299145299,0.027518985898106682
S3,3,20,0.6,0.5333333333333333,0.09395705987105685,0.9060429401289432,-0.7686301192794699,0.2001711812317873
S3,3,20,0.8,0.3333333333333333,0.09395705987105685,0.9060429401289432,-0.8667785812672177,0.5047246538350012
S3,4,20,0.0,1.0,0.0,1.0,-1.0,1.0
S3,4,20,0.2,1.0,0.0,1.0,-0.8875742081762938,0.5761875774876767
S3,4,20,0.4,1.0,0.8563263051034412,0.14367369489655876,-0.8734748544041836,0.5194159726102626
S3,4,20,0.6,0.5714285714285714,0.5,1.0,0.5114057937569771,0.24219470175715496
S3,4,20,0.8,0.4444444444444444,0.8563263051034412,0.14367369489655876,-0.8490188336909932,0.4395796855818831
S3,5,20,0.0,0.7,0.07222906971871423,0.9277709302812858,-0.9301294594907162,0.6827178503533325
S3,5,20,0.2,0.9375,0.07222906971871423,0.9277709302812858,-0.9383113940759158,0.6660424054147559
S3,5,20,0.4,1.0,0.013225719563530025,0.98677428043647,-0.7371703726572789,0.10687830763040246
S3,5,20,0.6,0.6153846153846154,0.506612859781765,0.98677428043647,0.6861240014235674,0.01864672818230026
S3,5,20,0.8,0.25,0.7237303112464326,0.8288090662607023,0.5125736961451247,0.2640330867796854
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S4,1_2,20,0.0,0.8,0.0,1.0,0.6678426182845589,0.04001148723443046
S4,1_2,20,0.2,0.8125,0.08004120968064576,0.9199587903193542,0.630850630850631,0.09439437693405925
S4,1_2,20,0.4,0.5625,0.023388194857824396,0.4883059025710878,-0.7055941134888504,0.016057177606885454
S4,1_2,20,0.6,0.4117647058823529,0.41680134256993584,0.8747979861450963,0.5700584795321637,0.17531792444073147
S4,1_2,20,0.8,0.2,0.3944902047397053,0.9082646928904421,0.6870969574872947,0.015665797404153185
S4,1_3,20,0.0,0.95,0.33333333333333337,1.0,0.6731080409881933,0.030511701742050912
S4,1_3,20,0.2,0.8888888888888888,0.3866941397870972,0.9199587903193542,0.6519029891203949,0.0658659979223059
S4,1_3,20,0.4,0.75,0.08004120968064576,0.9199587903193542,0.48591035335522326,0.28192219773014404
S4,1_3,20,0.6,0.4375,0.5082043622323664,0.49179563776763363,0.4559002725669392,0.3269192778121349
S4,1_3,20,0.8,0.3333333333333333,0.5082043622323664,0.49179563776763363,0.6393345216874629,0.0820909845419649
S4,1_4,20,0.0,0.75,0.03529882216333535,0.4823505889183323,-0.735510567863509,0.10590871117186904
S4,1_4,20,0.2,0.7647058823529411,0.08004120968064576,0.9199587903193542,0.6846428571428572,0.020659013605442013
S4,1_4,20,0.4,0.6470588235294118,0.03529882216333535,0.4823505889183323,-0.7451923076923077,0.14227207977207995
S4,1_4,20,0.6,0.4444444444444444,0.3984604138415423,0.9023093792376866,0.6286764705882353,0.09946478591436571
S4,1_4,20,0.8,0.11764705882352941,0.3984604138415423,0.9023093792376866,0.616532948064539,0.11179812814260197
S4,1_5,20,0.0,0.8,0.466335422724624,0.800496865913064,0.5015684051398337,0.27559943730578645
S4,1_5,20,0.2,0.75,0.466335422724624,0.800496865913064,0.4864583333333334,0.2987041170634919
S4,1_5,20,0.4,0.7058823529411765,0.19950313408693598,0.800496865913064,0.3857142857142857,0.2104591836734694
S4,1_5,20,0.6,0.8,0.19950313408693598,0.800496865913064,0.5,0.28571428571428564
S4,1_5,20,0.8,0.2,0.3419751560369776,0.6580248439630224,0.6910738892270798,0.010340728014255061
S4,2_3,20,0.0,1.0,0.0,1.0,0.03896103896103896,0.9443413729128015
S4,2_3,20,0.2,1.0,0.0,1.0,0.040158082610912804,0.8954997450280469
S4,2_3,20,0.4,0.75,0.011694097428912142,0.9883059025710879,0.11781609195402298,0.7722847759793573
S4,2_3,20,0.6,0.4444444444444444,0.23732841038879382,0.7626715896112062,0.3012077294685991,0.2769390767579173
S4,2_3,20,0.8,0.2222222222222222,0.6265714999870886,0.5601427500193672,0.6150097917955061,0.12141458314927696
S4,2_4,20,0.0,1.0,0.0,1.0,0.665362696802859,0.04891956782713093
S4,2_4,20,0.2,0.7368421052631579,0.33333333333333337,1.0,0.6714674185262421,0.038873755182500726
S4,2_4,20,0.4,0.6,0.09032160834851599,0.454839195825742,-0.7027669766131305,0.0
S4,2_4,20,0.6,0.4444444444444444,0.029343508510579874,0.9706564914894201,0.6871014911014912,0.017505119219404723
S4,2_4,20,0.8,0.1875,0.35289567234038655,0.9706564914894201,0.6152188147986467,0.11506017991612227
S4,2_5,20,0.0,0.9,0.3386863241122532,0.9919705138316202,0.6376842231018706,0.08478639222919167
S4,2_5,20,0.2,0.875,0.4129746162708602,0.8805380755937098,0.6305100696405044,0.09300778094034527
S4,2_5,20,0.4,0.7142857142857143,0.13115602183520247,0.8688439781647975,0.691358024691358,0.011728395061728389
S4,2_5,20,0.6,0.5384615384615384,0.13115602183520247,0.8688439781647975,0.6498127880184332,0.06870868307000208
S4,2_5,20,0.8,0.26666666666666666,0.4207706812234683,0.8688439781647975,0.6075843799058085,0.12809307887205112
S4,3_4,20,0.0,1.0,0.33333333333333337,1.0,0.6016949171549373,0.1373402778695531
S4,3_4,20,0.2,0.9375,0.0,1.0,0.2533613445378151,0.6070386487928505
S4,3_4,20,0.4,0.75,0.01764941108166762,0.9823505889183324,0.3461734693877551,0.47630494505494503
S4,3_4,20,0.6,0.5,0.47321134486413563,0.7901829827037965,0.6763135167110322,0.032780400980267826
S4,3_4,20,0.8,0.23529411764705882,0.13389362533986993,0.43305318733006504,-0.7034769463340892,0.0
S4,3_5,20,0.0,0.85,0.11946192440629022,0.8805380755937098,0.10943181982540717,0.8036644484591482
S4,3_5,20,0.2,0.7777777777777778,0.4129746162708602,0.8805380755937098,0.6594558267236783,0.05620014792855723
S4,3_5,20,0.4,0.6,0.6900970989080524,0.30990290109194757,0.634891778053787,0.08077252365031533
