Jaccard,Precision,Recall,avgconf,argminC

1.0,0.38092874945847427,0.38092874945847427,0.6697286558603752,0.2878904855603218
1.0,0.3947843444110005,0.3947843444110005,0.6705353837227891,0.2877073434983358
1.0,0.38573830288489136,0.38573830288489136,0.5899212051155862,0.4059288213907705
1.0,0.3616143165288479,0.3616143165288479,0.6506673167356958,0.35684154320250344

1.0,0.2320048085041565,0.2320048085041565,0.5698106077687579,0.38391498248334566
1.0,0.25261754548078086,0.25261754548078086,0.5245954115068057,0.4311962001076499
1.0,0.22541100701847683,0.22541100701847683,0.5722115205439811,0.3724504076013357
1.0,0.24602374399510119,0.24602374399510119,0.5269963242820288,0.4194004205222013
1.0,0.2519972152779707,0.2519972152779707,0.5693802071908366,0.38376164657298556
1.0,0.27260995225459506,0.27260995225459506,0.5241650109288842,0.43102971905060894
1.0,0.24448227192753938,0.24448227192753938,0.5717811199660598,0.3722798044107272
1.0,0.2650950089041637,0.2650950089041637,0.5265659237041075,0.41921590196254827

1.0,0.415432378122406,0.415432378122406,0.5548293188848299,0.761735729187442
1.0,0.334060320095582,0.334060320095582,0.5718818442660978,0.7680626786998788
1.0,0.4010415469312073,0.4010415469312073,0.5169713139423143,0.7688355275615029

1.0,0.37214442114790486,0.37214442114790486,0.5735484268429121,0.33365004934015086
1.0,0.29102694798636447,0.29102694798636447,0.6814353739701421,0.3090118150575347
1.0,0.30431715930595216,0.30431715930595216,0.5065074712561612,0.35874706921155297
1.0,0.2401738760493182,0.2401738760493182,0.5930081223757062,0.33262000634978783
1.0,0.305900402015933,0.305900402015933,0.6242123247929738,0.2901339731120912
1.0,0.2162872365871839,0.2162872365871839,0.7422320515102162,0.2662766668985481
1.0,0.27092242712182246,0.27092242712182246,0.47454675626814435,0.40068718910376533
1.0,0.23658818877411333,0.23658818877411333,0.5824337033953744,0.3544557494687587
1.0,0.22299340749238006,0.22299340749238006,0.42400607911052157,0.4287538967737575
1.0,0.19756106501728177,0.19756106501728177,0.5105067302300664,0.3807285644232538
1.0,0.20467840798985062,0.20467840798985062,0.5252106542182061,0.35551807824562354
1.0,0.1618484773749328,0.1618484773749328,0.6432303809354485,0.31035789126968494

1.0,0.4650869889684358,0.4650869889684358,0.5110021954044276,0.3833058435605134
1.0,0.530889482194969,0.530889482194969,0.5992374463653267,0.31083780568489183
1.0,0.5040385121671207,0.5040385121671207,0.5236060045043399,0.39827067788782083
1.0,0.5852494473461176,0.5852494473461176,0.6157483880897154,0.32526713575944144
1.0,0.4644283789895076,0.4644283789895076,0.5288073203882373,0.38817533735652177
1.0,0.5299703393075365,0.5299703393075365,0.6216927490998838,0.31551485385005534
1.0,0.47702935577706057,0.47702935577706057,0.508839827794035,0.3823917896565343
1.0,0.5475560099768914,0.5475560099768914,0.5968047828036352,0.310017360950005
1.0,0.521422334681089,0.521422334681089,0.5211733409426483,0.397505561771211
1.0,0.6095099616585585,0.6095099616585585,0.612968201162068,0.3245890852827616
1.0,0.4762787392029305,0.4762787392029305,0.5263746568265457,0.38732479553907867
1.0,0.5465084645290933,0.5465084645290933,0.6189125621722363,0.3147549503523889

1.0,0.3226587446755364,0.3226587446755364,0.5692240928539434,0.3505457325919641
1.0,0.31841332586557675,0.31841332586557675,0.5759378639324315,0.34716039811949406
1.0,0.34327148165216076,0.34327148165216076,0.5403349194373102,0.3716136029080397
1.0,0.276150221297216,0.276150221297216,0.5621519164775941,0.35487592584628297
1.0,0.2719048024872563,0.2719048024872563,0.5688656875560822,0.3514905913738129
1.0,0.2967629582738403,0.2967629582738403,0.5332627430609609,0.37598426626311204

1.0,0.33468533611854495,0.5020280041778175,0.6345256446905324,0.6230148583899733

1.0,0.2785980360977772,0.2785980360977772,0.4766733944360596,0.4238268102519793
1.0,0.21235883707992542,0.21235883707992542,0.4278531434643812,0.4104068186739534

1.0,0.6780076217850852,0.6780076217850852,0.5228333260547295,0.5880772052810765
1.0,0.6561837170585543,0.6561837170585543,0.5219252683980177,0.5882449226535729
1.0,0.6453510278965483,0.6453510278965483,0.46573205308530885,0.5874245821985982
