Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\6_7\P[0.2, 0.4]_Q[0, 1].json",0.008976221,0.009973049,0.315156937,0.334106207,1,0.380042354,0.380042354,0.46619877,0.326269838,2449
"Samples\AvailableSamples\S5\6_7\P[0.4, 0.6]_Q[0, 1].json",0.005984783,0.002991199,0.115691185,0.124667168,1,0.72810611,0.72810611,0.326269722,0.555396879,568
"Samples\AvailableSamples\S5\6_7\P[0.6, 0.8]_Q[0, 1].json",0.002991676,0.002992868,0.160569191,0.166553736,1,0.371807839,0.557711759,0.364914455,0.652268823,163
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.000997305,0,0.035903931,0.036901236,1,0.618778823,0.618778823,0,0.981603768,52
SamNum,10,min_support,0.3,gamma,0.8,avgRecall,0.458534586,,,
"Samples\AvailableSamples\S5\1_2\P[0, 0.2]_Q[0, 1].json",0.019946098,0.035901785,0.569167376,0.625015259,1,0.171965244,0.257947866,0.76894406,0.432200523,2596
"Samples\AvailableSamples\S5\1_2\P[0.2, 0.4]_Q[0, 1].json",0.017951488,0.017951965,0.261301279,0.297204733,1,0.253382201,0.253382201,0.565213303,0.366413553,2193
"Samples\AvailableSamples\S5\1_2\P[0.4, 0.6]_Q[0, 1].json",0.022938251,0.044876814,0.755564213,0.823379278,1,0.196785384,0.196785384,0.449597311,0.697971564,736
"Samples\AvailableSamples\S5\1_2\P[0.6, 0.8]_Q[0, 1].json",0.007978678,0.011965036,0.323138475,0.34308219,1,0.55547789,0.55547789,0.015944241,0.63328015,184
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.003989458,0.001994133,0.074800491,0.080784082,1,0.699105346,0.699105346,0,0.854821383,101
"Samples\AvailableSamples\S5\1_4\P[0, 0.2]_Q[0, 1].json",0.024933577,0.029918671,0.385705471,0.440557718,1,0.188708337,0.283062505,0.654815207,0.44179506,3309
"Samples\AvailableSamples\S5\1_4\P[0.2, 0.4]_Q[0, 1].json",0.011968136,0.011966228,0.25731349,0.281247854,1,0.29548333,0.29548333,0.553289264,0.408515357,2997
"Samples\AvailableSamples\S5\1_4\P[0.4, 0.6]_Q[0, 1].json",0.008975506,0.005983829,0.086768627,0.101727962,1,0.227311789,0.340967683,0.721964763,0.399423889,893
"Samples\AvailableSamples\S5\1_4\P[0.6, 0.8]_Q[0, 1].json",0.003988743,0.002991438,0.117685795,0.124665976,1,0.458012836,0.458012836,0.41789544,0.596655434,226
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.000997305,0.039893866,0.043883324,1,1,1,0.245176512,0.858686713,20
"Samples\AvailableSamples\S5\1_5\P[0, 0.2]_Q[0, 1].json",0.027921915,0.055849075,0.510299444,0.594070435,1,0.278434884,0.278434884,0.491031269,0.326420277,1693
"Samples\AvailableSamples\S5\1_5\P[0.2, 0.4]_Q[0, 1].json",0.020944118,0.057837963,0.939638138,1.018420219,1,0.077466698,0.038733349,-0.815113621,0.443516525,3046
"Samples\AvailableSamples\S5\1_5\P[0.4, 0.6]_Q[0, 1].json",0.009973526,0.007978201,0.171541691,0.189493418,1,0.382553615,0.382553615,0.64598856,0.563146094,1074
