Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,3,40,0.8,0.380952381,0.814287637,0.185712363,-0.816620967,0.063007962
S2,3,60,0.8,0.244897959,0.892636608,0.214726785,0.517535281,0.059515542
S2,3,80,0.8,0.216216216,0.928163153,0.143673695,0.587598048,0.080287109
S2,3,100,0.8,0.240963855,0.938095879,0.185712363,0.592194183,0.075477771
S2,4,10,0,1,0,1,-0.715397422,0.051324741
S2,4,20,0,1,0.5,1,0.638990365,0.085946113
S2,4,40,0,1,0,1,-0.789710181,0.299033937
S2,4,60,0,1,0,1,-0.726735094,0.089116979
S2,4,80,0,1,0.5,1,0.685833607,0.014836873
S2,4,100,0,0.75,0,1,-0.748270541,0.148082241
S2,4,10,0.2,1,0,1,-0.773547014,0.232898877
S2,4,20,0.2,1,0,1,-0.795731773,0.303150615
S2,4,40,0.2,1,0,1,-0.79609404,0.304297795
S2,4,60,0.2,0.770833333,0,1,-0.778129376,0.231685554
S2,4,80,0.2,1,0,1,-0.737173745,0.117716859
S2,4,100,0.2,1,0,1,-0.80682256,0.33827144
S2,4,10,0.4,0.5,0.666666667,1,0.654789874,0.02863591
S2,4,20,0.4,0.529411765,0.035298822,0.964701178,-0.719945973,0.054959472
S2,4,40,0.4,0.666666667,0.035298822,0.964701178,-0.810410398,0.349632928
S2,4,60,0.4,1,0,1,-0.790409903,0.271229709
S2,4,80,0.4,1,0,1,-0.811232914,0.333698742
S2,4,100,0.4,1,0,1,-0.77408662,0.22225986
S2,4,10,0.6,0.5,0.5,1,0.682273542,0.018018497
S2,4,20,0.6,0.470588235,0.035298822,0.964701178,-0.770960201,0.218793952
S2,4,40,0.6,0.551724138,0.035298822,0.964701178,-0.731891515,0.091688106
S2,4,60,0.6,0.533333333,0.035298822,0.964701178,-0.785371277,0.248999557
S2,4,80,0.6,0.533333333,0.035298822,0.964701178,-0.787383743,0.25486925
S2,4,100,0.6,0.487804878,0.517649411,0.964701178,0.665033485,0.044639892
S2,4,10,0.8,0.222222222,0.678432941,0.964701178,0.667938231,0.012028622
S2,4,20,0.8,0.176470588,0.517649411,0.964701178,0.585469599,0.150832447
S2,4,40,0.8,0.2,0.133893625,0.866106375,-0.767924438,0
S2,4,60,0.8,0.210526316,0.517649411,0.964701178,0.645266202,0.0701238
S2,4,80,0.8,0.280701754,0.517649411,0.964701178,0.622068868,0.09814354
S2,4,100,0.8,0.212765957,0.566946813,0.866106375,0.556138322,0.102758341
S2,5,10,0,0.6,0.619461924,0.761076151,0.164471901,0.612379292
S2,5,20,0,0.9,0.74630795,0.761076151,0.507660646,0.26459382
S2,5,40,0,1,0.74630795,0.761076151,0.443848209,0.070300559
S2,5,60,0,0.966666667,0.619461924,0.761076151,0.515894093,0.131504219
S2,5,80,0,0.9875,0.619461924,0.761076151,0.310056119,0.075567168
S2,5,100,0,0.98,0.619461924,0.761076151,0.395253657,0.21767596
S2,5,10,0.2,0.8,0.619461924,0.761076151,0.064905886,0.129189164
S2,5,20,0.2,0.722222222,0.619461924,0.761076151,0.121498844,0.418433743
S2,5,40,0.2,0.8,0.619461924,0.761076151,0.060388972,0.45686502
S2,5,60,0.2,0.857142857,0.619461924,0.761076151,0.351749746,0.248750182
S2,5,80,0.2,0.96969697,0.152745255,0.847254745,-0.880998236,0.352858836
S2,5,100,0.2,1,0,1,-0.847864073,0.395354635
S2,5,10,0.4,0.75,0.576372627,0.847254745,0.452261658,0.16793877
S2,5,20,0.4,0.6,0.619461924,0.761076151,0.34835995,0.251171464
S2,5,40,0.4,0.615384615,0.619461924,0.761076151,0.096478211,0.119924223
S2,5,60,0.4,0.6,0.619461924,0.761076151,0.376981779,0.041806176
S2,5,80,0.4,0.774193548,0.619461924,0.761076151,0.216269344,0.092109664
S2,5,100,0.4,0.606060606,0.619461924,0.761076151,0.358147935,0.244180047
S2,5,10,0.6,0.375,0.619461924,0.761076151,0.067954755,0.122558817
S2,5,20,0.6,0.461538462,0.619461924,0.761076151,0.256607397,0.100393697
S2,5,40,0.6,0.41025641,0.619461924,0.761076151,0.490134998,0.149903573
S2,5,60,0.6,0.406779661,0.619461924,0.761076151,0.17480171,0.375141636
S2,5,80,0.6,0.595744681,0.619461924,0.761076151,0.150666303,0.400988831
S2,5,100,0.6,0.453125,0.619461924,0.761076151,0.126825035,0.422848379
S2,5,10,0.8,0.142857143,0.619461924,0.761076151,0.223832772,0.275298106
S2,5,20,0.8,0.2,0.238923849,0.761076151,0.111891692,0
