Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S2,1,10,0.0,1.0,0.0,1.0,-0.8097777803015038,0.3398854314870757,1.0,-1.0,0.0
S2,1,10,0.2,0.7777777777777778,0.5244658317884664,0.9510683364230672,0.6502636225081798,0.061133805717147466,0.21088338197667508,0.6423396894711104,29.75114705378793
S2,1,10,0.4,0.75,0.5117439494180065,0.976512101163987,0.41511127320385144,0.12028710990876026,0.1241982317014152,0.7763118464426115,56.375823698091374
S2,1,10,0.6,0.4,0.16008241936129153,0.8399175806387085,0.358646597738201,0.0,0.19973841508542264,0.7110882971348177,32.05027896628997
S2,1,10,0.8,0.16666666666666666,0.5117439494180065,0.976512101163987,0.2806918551202105,0.2301661430862199,0.024109443832098017,0.9088440589207311,319.5321285281267
S2,1,20,0.0,0.9,0.5,1.0,0.680326191283424,0.024966365223075368,0.2740691671464379,0.6575404418445084,47.513180226158774
S2,1,20,0.2,1.0,0.0,1.0,-0.7840696806049953,0.2273651771025062,1.0,-1.0,0.0
S2,1,20,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.09235392255482239,1.0,-1.0,0.0
S2,1,20,0.6,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613299,0.13714416310225727,0.33529981289115907,0.6147684988990517,42.06314737270159
S2,1,20,0.8,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.14475272520777605,0.1355572986856883,0.7786350268568251,114.0022165955565
S2,1,40,0.0,1.0,0.5,1.0,0.5165521214211255,0.2259367164175889,0.10355178597877468,0.8179332006694017,327.56432652140103
S2,1,40,0.2,0.8,0.6744959662786709,0.976512101163987,0.6483643033002892,0.03288321858886013,0.38657881588206233,0.6275595170983181,77.13857531888915
S2,1,40,0.4,0.6,0.6674991353999997,0.997502593800001,0.6306196524960601,0.05358081462098501,0.3152021544680349,0.654665988047739,98.56934618775782
S2,1,40,0.6,0.32432432432432434,0.6744959662786709,0.976512101163987,0.665240921659435,0.020283962837827633,0.20896460686563045,0.7596030523082994,158.53463717010132
S2,1,40,0.8,0.23529411764705882,0.7078477988844236,0.8764566033467293,0.5740044745991773,0.10760939597283024,0.35086314674715346,0.6316641517731802,86.81701379295738
S2,1,60,0.0,1.0,0.5,1.0,0.685734162664415,0.018141237370676327,0.0437654640265948,0.9150823330675352,1225.5698838073765
S2,1,60,0.2,0.8,0.5117439494180065,0.976512101163987,0.5800985185675419,0.05181898888537764,0.11200422940159185,0.8938557621882519,459.24637913066783
S2,1,60,0.4,0.5818181818181818,0.6744959662786709,0.976512101163987,0.5932305450017202,0.06468978619346939,0.35955610292593077,0.6348751982196182,128.84584633909014
S2,1,60,0.6,0.4,0.7200274731204306,0.8399175806387085,0.5467722376418649,0.09329962069856783,0.4606715667401271,0.5740342440904213,95.09774343965343
S2,1,60,0.8,0.20689655172413793,0.7200274731204306,0.8399175806387085,0.6276027663398611,0.06894974634298938,0.4760707439531251,0.5849060702683577,88.00355018562165
S2,1,80,0.0,0.7375,0.5,1.0,0.659329837572481,0.048786277905312626,0.1725494041331478,0.7263743369168838,373.64660950242467
S2,1,80,0.2,0.8,0.6744959662786709,0.976512101163987,0.592259329324595,0.064196980785654,0.4034038508992066,0.6198296143654709,152.14936593016154
S2,1,80,0.4,0.7164179104477612,0.6674991353999997,0.997502593800001,0.6400404014838302,0.07092323758931708,0.36304644608542835,0.6589037544965172,170.97064329419004
S2,1,80,0.6,0.4,0.5800412096806458,0.8399175806387085,0.4545159852436466,0.1753457248259667,0.08424800619591269,0.897013690475324,847.588687948651
S2,1,80,0.8,0.2,0.5117439494180065,0.976512101163987,0.6353134547169954,0.042371875869596135,0.2047487747417338,0.7725253884510735,302.36899188341795
S2,1,100,0.0,1.0,0.5,1.0,0.6908887725992036,0.011217430530211011,0.2056854510551146,0.722549290460839,378.1238575285476
S2,1,100,0.2,1.0,0.0,1.0,-0.7370287043644843,0.09698400027325112,1.0,-1.0,0.0
S2,1,100,0.4,0.6060606060606061,0.7200274731204306,0.8399175806387085,0.652334414468722,0.04539579574407426,0.3696808574833853,0.6494490827609272,209.36900694251645
S2,1,100,0.6,0.40404040404040403,0.5800412096806458,0.8399175806387085,0.5861827366633401,0.06949671609266099,0.2765644501960416,0.6468325342691553,253.50943146938897
S2,1,100,0.8,0.2,0.6744959662786709,0.976512101163987,0.6573259172849355,0.02817412267369468,0.4980917257986046,0.5812868205319214,146.1545120182097
S2,2,10,0.0,0.7,0.0,1.0,-0.8928992289640068,0.18566751038984564,1.0,-1.0,0.0
