Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.003991127,0.001993656,0.081780672,0.087765455,1,0.707193196,0.707193196,0.202821869,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.000997305,0.035903931,0.03989315,1,0.911585627,0.911585627,0,0.9,37
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.041888237,0.044879913,1,0.707193196,0.707193196,0,0.9,91
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.03789854,0.040890217,1,0.911585627,0.911585627,0,0.883333333,97
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.001995087,0,0.041888237,0.043883324,1,0.618778823,0.618778823,0,0.883333333,52
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.8,avgRecall,0.749155065,
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.007011652,0.007980824,0.301762581,0.316755056,1,0.766421995,0.766421995,0,0.825524719,101
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.002990961,0.000998259,0.037899256,0.041888475,1,1,1,0.214285714,0.966666667,20
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.000996113,0,0.007978678,0.008974791,1,1,0.5,-0.95,0.95,80
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.000997305,0.034906626,0.038895845,1,0.707193196,0.707193196,0,0.95,35
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0,0.033909082,0.036901236,1,0.911585627,0.911585627,0,0.933333333,41
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.005983591,0.002990961,0.149600983,0.158575535,1,0.766421995,0.766421995,0,0.792191385,97
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.006981373,0.006981611,0.302191257,0.316154242,1,0.766421995,0.766421995,0,0.775524719,157
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.004986525,0.001995087,0.152591705,0.159573317,1,0.419487105,0.419487105,0.280180693,0.804480423,112
"Samples\AvailableSamples\S5\2_7\P[0.8, 1.0]_Q[0, 1].json",0.003989697,0.000997066,0.224030256,0.229017019,1,0.678007622,0.678007622,0,0.758858052,118
"Samples\AvailableSamples\S5\4_5\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997066,0.036901712,0.040890455,1,1,1,0.228174603,0.916666667,76
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.001995564,0.073801756,0.078788996,1,0.707193196,0.707193196,0.202821869,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.002991199,0.000997782,0.03789854,0.041887522,1,0.911585627,0.911585627,0,0.9,37
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0.000997305,0.035904646,0.039893627,1,0.707193196,0.707193196,0,0.9,91
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.002991676,0,0.038896561,0.041888237,1,0.911585627,0.911585627,0,0.883333333,97
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0,0.036901712,0.038896322,1,0.618778823,0.618778823,0,0.883333333,52
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.7,avgRecall,0.758125067,
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.004986763,0.002991438,0.170544386,0.178522587,1,0.72868637,0.72868637,0,0.784004113,101
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.003988981,0,0.038895845,0.042884827,1,1,1,0.214285714,0.966666667,20
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.000997305,0.000997066,0.007978201,0.009972572,1,1,0.5,-0.95,0.95,80
"Samples\AvailableSamples\S5\1_6\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.000997782,0.034906626,0.038896322,1,0.707193196,0.707193196,0,0.95,35
"Samples\AvailableSamples\S5\1_7\P[0.8, 1.0]_Q[0, 1].json",0.002993107,0,0.034905672,0.037898779,1,0.911585627,0.911585627,0,0.933333333,41
"Samples\AvailableSamples\S5\2_4\P[0.8, 1.0]_Q[0, 1].json",0.005983829,0.001994371,0.074800491,0.082778692,1,0.72868637,0.72868637,0,0.75067078,97
"Samples\AvailableSamples\S5\2_5\P[0.8, 1.0]_Q[0, 1].json",0.005983829,0.000997782,0.160570621,0.167552233,1,0.72868637,0.72868637,0,0.734004113,157
"Samples\AvailableSamples\S5\2_6\P[0.8, 1.0]_Q[0, 1].json",0.002991915,0.000997543,0.077791452,0.08178091,1,0.435879567,0.435879567,0.279949046,0.734004113,112
"Samples\AvailableSamples\S5\2_7\P[0.8, 1.0]_Q[0, 1].json",0.003989458,0.000997543,0.114693165,0.119680166,1,0.640271997,0.640271997,0,0.717337447,118
"Samples\AvailableSamples\S5\4_5\P[0.8, 1.0]_Q[0, 1].json",0.00398922,0.00099659,0.037899256,0.042885065,1,1,1,0.228174603,0.916666667,76
"Samples\AvailableSamples\S5\4_6\P[0.8, 1.0]_Q[0, 1].json",0.002990246,0.001994848,0.073802948,0.078788042,1,0.707193196,0.707193196,0.202821869,0.916666667,31
"Samples\AvailableSamples\S5\4_7\P[0.8, 1.0]_Q[0, 1].json",0.00299263,0.000997782,0.035903692,0.039894104,1,0.911585627,0.911585627,0,0.9,37
"Samples\AvailableSamples\S5\5_6\P[0.8, 1.0]_Q[0, 1].json",0.002991438,0,0.037899733,0.040891171,1,0.707193196,0.707193196,0,0.9,91
"Samples\AvailableSamples\S5\5_7\P[0.8, 1.0]_Q[0, 1].json",0.002992153,0.00099802,0.034905672,0.038895845,1,0.911585627,0.911585627,0,0.883333333,97
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.001994133,0.000997543,0.038896084,0.04188776,1,0.618778823,0.618778823,0,0.883333333,52
noiseRate,0,SamNum,10,min_support,0.3,gamma,0.6,avgRecall,0.749155065,
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.005985975,0.004987717,0.237333059,0.248306751,1,0.794059265,0.794059265,0,0.830425161,101
"Samples\AvailableSamples\S5\1_4\P[0.8, 1.0]_Q[0, 1].json",0.002992392,0,0.037901163,0.040893555,1,1,1,0.214285714,0.966666667,20
"Samples\AvailableSamples\S5\1_5\P[0.8, 1.0]_Q[0, 1].json",0.000997543,0.000997543,0.007977962,0.009973049,1,1,0.5,-0.95,0.95,80
