Scene,Sindex,Num,Noise_Rate,Jaccard,Precisiom,Recall,best_argminC,best_avgConf
S2,1,10,0.0,1.0,0.5,1.0,0.7303106159855037,0.6591613159621296
S2,1,10,0.2,0.8,0.976512101163987,0.976512101163987,0.2871947345820745,0.40708741204380017
S2,1,10,0.4,1.0,1.0,1.0,0.017810484680988253,0.45408824039910933
S2,1,10,0.6,0.2,0.4882560505819935,0.976512101163987,0.5602271885427414,0.4453637224412218
S2,1,10,0.8,0.1111111111111111,0.4882560505819935,0.976512101163987,0.7601564913517889,0.4273416784576164
S2,1,20,0.0,1.0,0.3333333333333333,1.0,0.7380984618607469,0.8285704874867408
S2,1,20,0.2,0.8,0.325504033721329,0.976512101163987,0.6180458867320067,0.523305820477632
S2,1,20,0.4,1.0,1.0,1.0,0.0,0.41490068958507476
S2,1,20,0.6,0.4,0.4882560505819935,0.976512101163987,0.7025655125279522,0.508625470939019
S2,1,20,0.8,0.2,0.325504033721329,0.976512101163987,0.6517698801140743,0.4893060684741984
S2,1,40,0.0,1.0,0.5,1.0,0.6890920608369488,0.7738037614290503
S2,1,40,0.2,0.8,0.325504033721329,0.976512101163987,0.6864316548389829,0.597877684921146
S2,1,40,0.4,0.6,0.325504033721329,0.976512101163987,0.6536127053794907,0.6006913864295976
S2,1,40,0.6,0.5,0.4895403101570874,0.9790806203141748,0.021191718079005738,0.5928048644946248
S2,1,40,0.8,0.2,0.4882560505819935,0.976512101163987,0.4038107767817328,0.506391891421925
S2,1,60,0.0,1.0,0.3333333333333333,1.0,0.6761367544891154,0.7303439401620978
S2,1,60,0.2,0.8,0.325504033721329,0.976512101163987,0.678415268493327,0.5536701861320288
S2,1,60,0.4,0.8372093023255814,0.4987512969000005,0.997502593800001,0.11248255990802586,0.7476436371146425
S2,1,60,0.6,0.4,0.4882560505819935,0.976512101163987,0.7034900412942293,0.5117704016062832
S2,1,60,0.8,0.2,0.4882560505819935,0.976512101163987,0.36966835987114444,0.47171070117119535
S2,1,80,0.0,1.0,0.3333333333333333,1.0,0.7200238006517299,0.772887416176958
S2,1,80,0.2,0.9014084507042254,0.4987512969000005,0.997502593800001,0.22547434111726322,0.7394714925812216
S2,1,80,0.4,0.8571428571428571,0.4987512969000005,0.997502593800001,0.20143689294960032,0.7381166243531204
S2,1,80,0.6,0.4,0.4882560505819935,0.976512101163987,0.3917742086775567,0.48647576041693613
S2,1,80,0.8,0.2,0.4882560505819935,0.976512101163987,0.4538766851001136,0.5151314845910757
S2,1,100,0.0,1.0,0.3333333333333333,1.0,0.7047047777104261,0.7934797193577979
S2,1,100,0.2,0.9090909090909091,0.4987512969000005,0.997502593800001,0.07528349657746,0.772246974428034
S2,1,100,0.4,0.8571428571428571,0.5,1.0,0.3060084390736133,0.8312936673817568
S2,1,100,0.6,0.4,0.4882560505819935,0.976512101163987,0.36186949867742346,0.49901195551494626
S2,1,100,0.8,0.2,0.4882560505819935,0.976512101163987,0.36888432800513704,0.4744647887701411
S2,2,10,0.0,1.0,0.5,1.0,0.6971847149852197,0.957319285766324
S2,2,10,0.2,0.75,1.0,1.0,0.8308589285892407,0.84
S2,2,10,0.4,0.75,0.4883059025710878,0.9766118051421756,0.7136562303008485,0.7449410293270257
S2,2,10,0.6,0.4444444444444444,0.3255372683807252,0.9766118051421756,0.7880652840949249,0.5578128105058096
S2,2,10,0.8,0.25,0.4883059025710878,0.9766118051421756,0.7668205841747742,0.6910846010795527
S2,2,20,0.0,1.0,0.5,1.0,0.6837837837837838,0.9805194805194806
S2,2,20,0.2,0.8,0.5,1.0,0.6961084344486852,0.946558193395826
S2,2,20,0.4,0.7058823529411765,0.5,1.0,0.7466640403946386,0.7959868852694262
S2,2,20,0.6,0.4,0.3333333333333333,1.0,0.7900802438982897,0.827187667164754
S2,2,20,0.8,0.21052631578947367,0.3255372683807252,0.9766118051421756,0.7256696299563936,0.656976449592343
S2,2,40,0.0,1.0,0.5,1.0,0.7011290322580646,0.9813664596273293
S2,2,40,0.2,1.0,0.5,1.0,0.7982947900707135,0.7588763774200205
S2,2,40,0.4,0.6666666666666666,0.9766118051421756,0.9766118051421756,0.8215761937157264,0.9
S2,2,40,0.6,0.4,0.3333333333333333,1.0,0.790285815145803,0.8277492471460178
S2,2,40,0.8,0.2,0.3255372683807252,0.9766118051421756,0.6523085575257288,0.8109518613332137
S2,2,60,0.0,1.0,0.5,1.0,0.7526315789473684,0.9871794871794872
S2,2,60,0.2,1.0,0.5,1.0,0.7903057663285106,0.8029164942828787
S2,2,60,0.4,0.8611111111111112,1.0,1.0,0.8336060720983701,0.5369309438751299
S2,2,60,0.6,0.41379310344827586,0.3333333333333333,1.0,0.7960957848937401,0.6566520721057314
S2,2,60,0.8,0.2,0.3255372683807252,0.9766118051421756,0.6648890631235105,0.801616379184718
