S5,3_4,100,0.2,0.952380952,0.386369708,0.613630292,0.153159373,0.249471945
S5,3_5,100,0.2,0.9,0.00661286,0.99338714,0.27442467,0.667959197
S5,4_5,100,0.2,0.95,0.159372873,0.840627127,0.11584793,0.512709372
gamma(cc),0.9,mu,10,min_support,0.3,,,
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,100,0.2,0.91954023,0.5,1,0.255050314,0.580835911
S2,2,100,0.2,1,0.5,1,0.715882603,0.269275878
S2,3,100,0.2,0.917647059,0.628026172,0.743947656,0.553079433,0.324002469
S2,4,100,0.2,1,0.5,1,0.758428304,0.224661678
S2,5,100,0.2,0.833333333,0.619461924,0.761076151,0.195004455,0.072813145
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S3,1,100,0.2,1,0.567073045,0.86585391,0.843403344,0.057483974
S3,2,100,0.2,0.918604651,0.707927342,0.584145316,0.052674082,0.593499676
S3,3,100,0.2,0.7875,0.513791531,0.972416937,0.727408141,0.1371936
S3,4,100,0.2,0.909090909,0.628026172,0.743947656,0.480267908,0.341293545
S3,5,100,0.2,1,0.50661286,0.98677428,0.727828206,0.2436206
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S4,1_2,100,0.2,0.821428571,0.045160804,0.954839196,0.070207864,0.452558786
S4,1_3,100,0.2,0.897727273,0.505169514,0.742245729,0.321163083,0.406389091
S4,1_4,100,0.2,0.804878049,0,1,0.642163797,0.289717298
S4,1_5,100,0.2,0.816326531,0.199503134,0.800496866,0.434901114,0.282549443
S4,2_3,100,0.2,0.975,0,1,0.163325321,0.565082241
S4,2_4,100,0.2,0.843373494,0.011694097,0.988305903,0.558357598,0.258860504
S4,2_5,100,0.2,0.615384615,0.131156022,0.868843978,0.647071603,0.215376653
S4,3_4,100,0.2,0.9875,0,1,0.320338443,0.648878184
S4,3_5,100,0.2,0.882352941,0.512098532,0.487901468,0.51730612,0.368953798
S4,4_5,100,0.2,0.808080808,0.186408737,0.813591263,0.649516631,0.175241685
