Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,2_3,20,0.8,0.222222222,0.418837916,0.581162084,0.375184782,0.278703163,,,
S4,2_4,20,0,1,0,1,0.552943278,0.205704343,,,
S4,2_4,20,0.2,1,0,1,0.574026722,0.170963735,,,
S4,2_4,20,0.4,0.75,0.029343509,0.970656491,0.731210774,-0.042053478,,,
S4,2_4,20,0.6,0.5,0.029343509,0.970656491,0.590405481,0.121379757,,,
S4,2_4,20,0.8,0.222222222,0.07864091,0.92135909,0.620873681,0.107899526,,,
S4,2_5,20,0,0.8,0.131156022,0.868843978,0.708044633,-0.010708764,,,
S4,2_5,20,0.2,0.631578947,0.131156022,0.868843978,0.641906794,0.052015432,,,
S4,2_5,20,0.4,0.5,0.164622729,0.835377271,0.47639426,0.16222705,,,
S4,2_5,20,0.6,0.368421053,0.131156022,0.868843978,0.564434925,0.094758954,,,
S4,2_5,20,0.8,0.2,0.131156022,0.868843978,0.413313081,0.118965741,,,
S4,3_4,20,0,1,0,1,0.204142012,0.708368555,,,
S4,3_4,20,0.2,1,0.128026172,0.871973828,0.363766666,0.311007302,,,
S4,3_4,20,0.4,0.705882353,0.017649411,0.982350589,0.347502222,0.470020094,,,
S4,3_4,20,0.6,0.533333333,0.356603014,0.643396986,0.484898104,0.187105648,,,
S4,3_4,20,0.8,0.071428571,0.446718185,0.553281815,0.424070927,0.21213652,,,
S4,3_5,20,0,0.9,0.128026172,0.871973828,0.211046046,0.458441714,,,
S4,3_5,20,0.2,1,0,1,0.217432617,0.657643281,,,
S4,3_5,20,0.4,0.631578947,0.119461924,0.880538076,0.330689912,0.258297234,,,
S4,3_5,20,0.6,0.470588235,0.526605743,0.473394257,0.217873889,0.416647596,,,
S4,3_5,20,0.8,0.2,0.547625077,0.452374923,0.296329817,0.288335845,,,
S4,4_5,20,0,0.85,0.137111335,0.862888665,0.613529778,0.058160031,,,
S4,4_5,20,0.2,0.777777778,0.017649411,0.982350589,0.488788889,0.255457435,,,
S4,4_5,20,0.4,0.6875,0.257631332,0.742368668,0.701876669,-0.002329778,,,
S4,4_5,20,0.6,0.333333333,0.094022038,0.905977962,0.661240763,0.030196151,,,
S4,4_5,20,0.8,0.222222222,0.137111335,0.862888665,0.441285436,0.352792587,0.597305642,0.141926653,0.849674171
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S5,1_2,20,0,1,0.054255751,0.945744249,0.293825983,0.575127464,,,
S5,1_2,20,0.2,1,0.054255751,0.945744249,0.247524365,0.613956295,,,
S5,1_2,20,0.4,0.6,0.32620609,0.67379391,0.269702339,0.307355472,,,
S5,1_2,20,0.6,0.4375,0.712377155,0.287622845,0.391123189,0.269295388,,,
S5,1_2,20,0.8,0.2,0.676520246,0.323479754,0.614101464,0.061356097,,,
S5,1_3,20,0,0.9,0,1,0.225045051,0.670975899,,,
S5,1_3,20,0.2,0.941176471,0.04697853,0.95302147,0.261409462,0.609153526,,,
S5,1_3,20,0.4,0.615384615,0.244394613,0.755605387,0.301325409,0.16888732,,,
S5,1_3,20,0.6,0.538461538,0.294907401,0.705092599,0.283388764,0.327129731,,,
S5,1_3,20,0.8,0.285714286,0.467063629,0.532936371,0.32820614,0.323487049,,,
S5,1_4,20,0,1,0,1,0.346846847,0.504504505,,,
S5,1_4,20,0.2,1,0,1,0.261495925,0.594005339,,,
