Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,2_3,20,0.8,0.222222222,0.6265715,0.56014275,0.615009792,0.121414583,,,
S4,2_4,20,0,1,0,1,0.665362697,0.048919568,,,
S4,2_4,20,0.2,0.736842105,0.333333333,1,0.671467419,0.038873755,,,
S4,2_4,20,0.4,0.6,0.090321608,0.454839196,-0.702766977,0,,,
S4,2_4,20,0.6,0.444444444,0.029343509,0.970656491,0.687101491,0.017505119,,,
S4,2_4,20,0.8,0.1875,0.352895672,0.970656491,0.615218815,0.11506018,,,
S4,2_5,20,0,0.9,0.008029486,0.991970514,0.415019763,0.386758893,,,
S4,2_5,20,0.2,0.875,0.412974616,0.880538076,0.63051007,0.093007781,,,
S4,2_5,20,0.4,0.714285714,0.131156022,0.868843978,0.691358025,0.011728395,,,
S4,2_5,20,0.6,0.538461538,0.131156022,0.868843978,0.649812788,0.068708683,,,
S4,2_5,20,0.8,0.266666667,0.420770681,0.868843978,0.60758438,0.128093079,,,
S4,3_4,20,0,1,0,1,0.29197861,0.582887701,,,
S4,3_4,20,0.2,0.941176471,0.333333333,1,0.609635671,0.123713069,,,
S4,3_4,20,0.4,0.923076923,0,1,0.346705147,0.456339186,,,
S4,3_4,20,0.6,0.444444444,0.630541709,0.554187436,0.672242304,0.039653851,,,
S4,3_4,20,0.8,0.235294118,0.133893625,0.433053187,-0.703476946,0,,,
S4,3_5,20,0,0,1,0,1.1,0,,,
S4,3_5,20,0.2,0.777777778,0.412974616,0.880538076,0.629737609,0.097637348,,,
S4,3_5,20,0.4,0.666666667,0.547625077,0.452374923,0.56671415,0.181753432,,,
S4,3_5,20,0.6,0.636363636,0.238923849,0.380538076,-0.815217391,0.35205314,,,
S4,3_5,20,0.8,0.266666667,0.698416718,0.452374923,0.68359375,0.023003472,,,
S4,4_5,20,0,0.75,0.137111335,0.862888665,0.693230381,0.008462024,,,
S4,4_5,20,0.2,0.75,0.119461924,0.880538076,0.53125,0.227008929,,,
S4,4_5,20,0.4,0.6875,0.412974616,0.880538076,0.661233581,0.05340272,,,
