Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,2_3,20,0.8,0.235294118,0.43985725,0.56014275,0.387643924,0.400523967,,,
S4,2_4,20,0,1,0,1,0.600563668,0.142051903,,,
S4,2_4,20,0.2,0.8125,0,1,0.544433068,0.202630448,,,
S4,2_4,20,0.4,0.6,0.090321608,0.454839196,-0.741037662,0,,,
S4,2_4,20,0.6,0.5,0.029343509,0.970656491,0.603909833,0.124123307,,,
S4,2_4,20,0.8,0.222222222,0.07864091,0.92135909,0.607088989,0.132730015,,,
S4,2_5,20,0,0.8,0.023388195,0.488305903,-0.718841707,0.057847345,,,
S4,2_5,20,0.2,0.823529412,0.131156022,0.868843978,0.630831044,0.095724895,,,
S4,2_5,20,0.4,0.470588235,0.119461924,0.880538076,0.493333333,0.278463203,,,
S4,2_5,20,0.6,0.421052632,0.420770681,0.868843978,0.633181379,0.095455173,,,
S4,2_5,20,0.8,0.266666667,0.420770681,0.868843978,0.642824074,0.080318563,,,
S4,3_4,20,0,1,0.333333333,1,0.577339715,0.17352892,,,
S4,3_4,20,0.2,0.842105263,0.333333333,1,0.67082492,0.040237465,,,
S4,3_4,20,0.4,0.705882353,0.017649411,0.982350589,0.345353569,0.472885106,,,
S4,3_4,20,0.6,0.571428571,0.630541709,0.554187436,0.602838196,0.133019136,,,
S4,3_4,20,0.8,0.266666667,0.445812564,0.554187436,0.414880952,0.38015873,,,
S4,3_5,20,0,0.9,0,1,0.246610142,0.617343045,,,
S4,3_5,20,0.2,1,0,1,0.206447244,0.672614158,,,
S4,3_5,20,0.4,0.5625,0.547625077,0.452374923,0.437640138,0.338684282,,,
S4,3_5,20,0.6,0.5,0.547625077,0.452374923,0.31172615,0.51436431,,,
S4,3_5,20,0.8,0.285714286,0.547625077,0.452374923,0.379617653,0.416126316,,,
S4,4_5,20,0,0.85,0.137111335,0.862888665,0.695201672,0.006683386,,,
S4,4_5,20,0.2,0.75,0.137111335,0.862888665,0.45,0.336850649,,,
S4,4_5,20,0.4,0.6,0.133893625,0.433053187,-0.701701667,0,,,
S4,4_5,20,0.6,0.421052632,0.42474089,0.862888665,0.681474133,0.025914159,,,
S4,4_5,20,0.8,0.222222222,0.42474089,0.862888665,0.50873591,0.268174518,0.610748788,0.241814838,0.791807839
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,0.610748788,0.241814838,0.814336663
S5,1_2,20,0,1,0.369503834,0.945744249,0.606724014,0.132467379,,,
S5,1_2,20,0.2,1,0.054255751,0.945744249,0.270593906,0.582653637,,,
S5,1_2,20,0.4,0.631578947,0.32620609,0.67379391,0.27,0.307142857,,,
S5,1_2,20,0.6,0.470588235,0.62074539,0.568881915,0.410365014,0.403091775,,,
S5,1_2,20,0.8,0.210526316,0.676520246,0.323479754,0.607836608,0.065830994,,,
S5,1_3,20,0,0.9,0,1,0.225823966,0.669875514,,,
S5,1_3,20,0.2,0.941176471,0.04697853,0.95302147,0.266920901,0.601498749,,,
S5,1_3,20,0.4,0.923076923,0.17450269,0.82549731,0.331196581,0.476969789,,,
S5,1_3,20,0.6,0.571428571,0.254466369,0.745533631,0.278280543,0.546394455,,,
S5,1_3,20,0.8,0.266666667,0.254466369,0.745533631,0.384583333,0.415548942,,,
S5,1_4,20,0,1,0,1,0.467525266,0.328000197,,,
S5,1_4,20,0.2,0.842105263,0.333333333,1,0.662641481,0.051406113,,,
S5,1_4,20,0.4,0.75,0.207487839,0.792512161,0.354,0.452529435,,,
S5,1_4,20,0.6,0.5,0.635650991,0.364349009,0.474074074,0.292493386,,,
S5,1_4,20,0.8,0.235294118,0.635650991,0.364349009,0.360687699,0.472613562,,,
S5,1_5,20,0,0.9,0.00661286,0.99338714,0.53548865,0.226368044,,,
S5,1_5,20,0.2,0.875,0.00661286,0.99338714,0.525776481,0.223349152,,,
S5,1_5,20,0.4,0.666666667,0.415782846,0.876325732,0.620138919,0.114087258,,,
S5,1_5,20,0.6,0.444444444,0.395557601,0.604442399,0.522174456,0.235512997,,,
S5,1_5,20,0.8,0.25,0.45410042,0.54589958,0.311111111,0.535714286,,,
S5,2_3,20,0,1,0.054255751,0.945744249,0.18063263,0.741953385,,,
S5,2_3,20,0.2,0.875,0.054255751,0.945744249,0.096875,0.808083063,,,
S5,2_3,20,0.4,0.705882353,0.460447204,0.539552796,0.35043618,0.474234647,,,
S5,2_3,20,0.6,0.5,0.542106997,0.457893003,0.402857143,0.406802721,,,
S5,2_3,20,0.8,0.235294118,0.640298136,0.539552796,0.664754418,0.049231924,,,
S5,2_4,20,0,1,0,1,0.348754437,0.368890903,,,
S5,2_4,20,0.2,0.875,0,1,0.617413316,0.10925285,,,
S5,2_4,20,0.4,0.8,0.461445071,0.807832394,0.623361458,0.101023571,,,
S5,2_4,20,0.6,0.5,0.894421218,0.158368174,0.688873626,0.015516371,,,
S5,2_4,20,0.8,0.25,0.871938942,0.128061058,0.485944719,0.284943719,,,
S5,2_5,20,0,1,0.060868611,0.939131389,0.224734029,0.65752483,,,
S5,2_5,20,0.2,1,0.060868611,0.939131389,0.245459634,0.616598271,,,
S5,2_5,20,0.4,0.666666667,0.451953346,0.82206998,0.29614078,0.561279727,,,
S5,2_5,20,0.6,0.615384615,0.537142942,0.462857058,0.555380486,0.189792617,,,
S5,2_5,20,0.8,0.235294118,0.711633372,0.432549942,0.390046296,0.430491255,,,
S5,3_4,20,0,1,0,1,0.209745763,0.700363196,,,
S5,3_4,20,0.2,0.888888889,0.333333333,1,0.62880117,0.099593602,,,
S5,3_4,20,0.4,0.75,0.098331208,0.901668792,0.318181818,0.524475524,,,
S5,3_4,20,0.6,0.533333333,0.501275436,0.498724564,0.320530533,0.510824282,,,
S5,3_4,20,0.8,0.142857143,0.09395706,0.45302147,-0.739591476,0.119816309,,,
S5,3_5,20,0,1,0.123674268,0.876325732,0.303927084,0.565818452,,,
S5,3_5,20,0.2,0.882352941,0.170652798,0.829347202,0.38510989,0.424070758,,,
S5,3_5,20,0.4,0.705882353,0.415782846,0.876325732,0.623586148,0.107189848,,,
S5,3_5,20,0.6,0.3125,0.09395706,0.45302147,-0.724125874,0.069250194,,,
S5,3_5,20,0.8,0.235294118,0.447101865,0.829347202,0.592645807,0.150168068,,,
S5,4_5,20,0,0.9,0.00661286,0.99338714,0.236632493,0.633804636,,,
S5,4_5,20,0.2,0.888888889,0.123674268,0.876325732,0.262604793,0.604991203,,,
S5,4_5,20,0.4,0.705882353,0.123674268,0.876325732,0.201642236,0.66403637,,,
S5,4_5,20,0.6,0.533333333,0.551837421,0.448162579,0.44292517,0.331180584,,,
S5,4_5,20,0.8,0.333333333,0.681562071,0.318437929,0.666666667,0.047619048,0.668992424,0.308709954,0.732215841
,,,,,,,,,0.668992424,0.308709954,0.732215841
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S1,1,20,0,0.85,0.5,1.0,0.42252456538170824,0.3881352805672533
