Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,10,0.0,1.0,0.0,1.0,-0.7942082621125754,0.5025318058885836
S2,1,10,0.2,1.0,0.0,1.0,-0.6154581074852573,0.0809867918826398
S2,1,10,0.4,0.0,1.0,0.0,1.1,0.0
S2,1,10,0.6,0.4,0.023487898836012988,0.976512101163987,-0.7815606836868187,0.2247231353005816
S2,1,10,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7060607034506756,0.10641544191617304
S2,1,20,0.0,1.0,0.0,1.0,-0.7209121923121947,0.37985387100132867
S2,1,20,0.2,1.0,0.0,1.0,-0.6174477140332169,0.17012751310612914
S2,1,20,0.4,0.6,0.023487898836012988,0.976512101163987,-0.6502006883918614,0.09818484019018338
S2,1,20,0.6,0.4,0.023487898836012988,0.976512101163987,-0.7805049997521873,0.2187884032457857
S2,1,20,0.8,0.2,0.023487898836012988,0.976512101163987,-0.8202524536863363,0.2530649001306739
S2,1,40,0.0,1.0,0.0,1.0,-0.7517579666475609,0.4275869931805233
S2,1,40,0.2,0.75,0.0,1.0,-0.8724251398232099,0.6205285511374162
S2,1,40,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7536497965647824,0.21846555785973168
S2,1,40,0.6,0.4,0.023487898836012988,0.976512101163987,-0.6742353712672894,0.1396272048162476
S2,1,40,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7712181793977315,0.2266244062237452
S2,1,60,0.0,1.0,0.0,1.0,-0.6545416216566893,0.24557400221349812
S2,1,60,0.2,0.8,0.023487898836012988,0.976512101163987,-0.7519025401631068,0.16230403364442944
S2,1,60,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7755364425697702,0.19021706362651697
S2,1,60,0.6,0.4,0.023487898836012988,0.976512101163987,-0.6904649154654198,0.1541391131250955
S2,1,60,0.8,0.2,0.023487898836012988,0.976512101163987,-0.6759825030501599,0.11240187296104234
S2,1,80,0.0,1.0,0.0,1.0,-0.6303967011817195,0.2166435670138965
S2,1,80,0.2,1.0,0.0,1.0,-0.7500690334391962,0.37551818921836205
S2,1,80,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7169883736919113,0.1708838560658399
S2,1,80,0.6,0.4,0.023487898836012988,0.976512101163987,-0.7203256896351748,0.1745615016893663
S2,1,80,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7043969286332058,0.16889563354410336
S2,1,100,0.0,1.0,0.0,1.0,-0.7531299186459787,0.4207165361029851
S2,1,100,0.2,1.0,0.0,1.0,-0.7754211691806191,0.4234402051305356
S2,1,100,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7369488562681199,0.15850633821196958
S2,1,100,0.6,0.4,0.023487898836012988,0.976512101163987,-0.7140878285139955,0.17230201370702003
S2,1,100,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7548195468359705,0.19780974627575926
S2,2,10,0.0,1.0,0.0,1.0,-0.7971018422343866,0.5286553795716118
S2,2,10,0.2,0.75,0.0,1.0,-0.7494137318526908,0.15346805530959423
S2,2,10,0.4,1.0,0.0,1.0,-0.8153795863534549,0.5086150631433065
S2,2,10,0.6,0.5,0.023388194857824396,0.9766118051421756,-0.6838731748240613,0.3309717146833103
S2,2,10,0.8,0.25,0.023388194857824396,0.9766118051421756,-0.6446955610798937,0.2604520099438086
