5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9822222222222223,0.062007379796786895,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977030303030303,0.09591311801840512,1.0,0.45454545454545453,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937994541690194,0.03073020224299145,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9945073161847354,0.03105228531504461,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.996936926944691,0.02132727029455539,1.0,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938738538893817,0.02956611094959725,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.9874252538366791,0.061295863412754295,1.0,0.5686274509803921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928535451532056,0.029530226691703253,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,0.9903932686033224,0.03736690558884484,1.0,0.711340206185567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9928115962092792,0.030463885864231478,1.0,0.7835051546391752,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,0.9919222282749661,0.037752227279504134,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933632685682537,0.03306176740778808,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,0.9956499986552914,0.023675475398320853,1.0,0.8129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9938294695547624,0.028747090194350216,1.0,0.78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,0.9929149703514755,0.0330315095153951,1.0,0.6933333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9937619340960033,0.028223821256366993,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0
