5,0.521333333,0.045663692,0.8,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.769111111,0.224480793,1,0.5,-0.25,1,1,0.8,0.5,0.5,1.75
10,0.511666667,0.026131048,0.65,0.5,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.953706682,0.127674377,1,0.454545455,1,1,1,1,1,0.846153846,1
20,0.716166667,0.242343227,1,0.5,-0.25,1,1,0.525,0.5,0.5,1.75,0.983020517,0.050381839,1,0.714285714,1,1,1,1,1,0.913043478,1
30,0.740518939,0.245497699,1,0.5,-0.25,1,1,0.533333333,0.5,0.5,1.75,0.98761121,0.04756405,1,0.666666667,1,1,1,1,1,1,1
40,0.943284945,0.148844633,1,0.5,1,1,1,1,1,0.6125,1,0.988056959,0.041971815,1,0.75,1,1,1,1,1,1,1
50,0.951364647,0.132167894,1,0.51,1,1,1,1,1,0.822580645,1,0.98914015,0.037586005,1,0.772727273,1,1,1,1,1,1,1
75,0.98677231,0.044461049,1,0.663461538,1,1,1,1,1,0.986842105,1,0.992470712,0.030558446,1,0.783505155,1,1,1,1,1,1,1
100,0.98868889,0.043729723,1,0.7,1,1,1,1,1,1,1,0.991559459,0.036540065,1,0.7,1,1,1,1,1,1,1
125,0.992735955,0.030171276,1,0.812903226,1,1,1,1,1,1,1,0.993105034,0.030014896,1,0.78,1,1,1,1,1,1,1
150,0.989389715,0.040506726,1,0.693333333,1,1,1,1,1,1,1,0.990358715,0.036766231,1,0.755,1,1,1,1,1,1,1
