5,0.5213333333333332,0.04566369234103037,0.8,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.7868888888888889,0.23270010162688667,1.0,0.5,-0.25,1.0,1.0,1.0,0.5,0.5,1.75
10,0.5116666666666666,0.026131047837630452,0.65,0.5,0.5,0.55,0.5,0.5,0.5,0.5,0.5,0.9764028749028749,0.08946831131252923,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.7161666666666667,0.24234322703110225,1.0,0.5,-0.25,1.0,1.0,0.525,0.5,0.5,1.75,0.9891557830253481,0.040901784235023865,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.7405189393939393,0.24549769882073838,1.0,0.5,-0.25,1.0,1.0,0.5333333333333334,0.5,0.5,1.75,0.9930808059384574,0.036805844614390355,1.0,0.7209302325581395,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.946205931917762,0.14803790605008413,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6125,1.0,0.9940658750749389,0.02954254261075677,1.0,0.7735849056603774,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.9637470873574563,0.12031214719388748,1.0,0.51,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,0.9962866053386756,0.024370601044805006,1.0,0.7727272727272727,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,0.9960716622470774,0.021709133131051692,1.0,0.8351648351648352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996591161447924,0.0032691693623349916,1.0,0.9620253164556962,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,0.9965325151891743,0.019529655739908225,1.0,0.8416666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981074907883071,0.014498760152017528,1.0,0.8416666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,0.9970698406124882,0.019010839464266484,1.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992564373911103,0.008207594902841056,1.0,0.8689655172413793,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,0.9964709716616172,0.02442459685098062,1.0,0.7823834196891192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9965930073119269,0.024382373872107378,1.0,0.755,1.0,1.0,1.0,1.0,1.0,1.0,1.0
